num,word
0,zero
1,one
2,two
3,three
4,four
5,five
6,six
7,seven
8,eight
9,nine
10,ten
11,eleven
12,twelve
13,thirteen
14,fourteen
15,fifteen
16,sixteen
17,seventeen
18,eighteen
20,twenty
21,twenty-one
22,twenty-two
23,twenty-three
24,twenty-four
25,twenty-five
26,twenty-six
28,twenty-eight
29,twenty-nine
30,thirty
33,thirty-three
34,thirty-four
35,thirty-five
36,thirty-six
37,thirty-seven
38,thirty-eight
39,thirty-nine
40,forty
41,forty-one
42,forty-two
43,forty-three
44,forty-four
46,forty-six
47,forty-seven
48,forty-eight
50,fifty
51,fifty-one
52,fifty-two
53,fifty-three
54,fifty-four
55,fifty-five
56,fifty-six
58,fifty-eight
60,sixty
61,sixty-one
62,sixty-two
63,sixty-three
64,sixty-four
65,sixty-five
66,sixty-six
68,sixty-eight
69,sixty-nine
71,seventy-one
73,seventy-three
74,seventy-four
75,seventy-five
76,seventy-six
77,seventy-seven
78,seventy-eight
79,seventy-nine
80,eighty
81,eighty-one
82,eighty-two
83,eighty-three
84,eighty-four
85,eighty-five
86,eighty-six
87,eighty-seven
88,eighty-eight
89,eighty-nine
90,ninety
92,ninety-two
93,ninety-three
94,ninety-four
95,ninety-five
96,ninety-six
97,ninety-seven
98,ninety-eight
99,ninety-nine
100,one hundred
110,one hundred and ten
120,one hundred and twenty
130,one hundred and thirty
140,one hundred and forty
150,one hundred and fifty
160,one hundred and sixty
170,one hundred and seventy
180,one hundred and eighty
190,one hundred and ninety
200,two hundred
210,two hundred and ten
220,two hundred and twenty
230,two hundred and thirty
250,two hundred and fifty
260,two hundred and sixty
270,two hundred and seventy
280,two hundred and eighty
290,two hundred and ninety
310,three hundred and ten
320,three hundred and twenty
330,three hundred and thirty
340,three hundred and forty
360,three hundred and sixty
370,three hundred and seventy
380,three hundred and eighty
390,three hundred and ninety
400,four hundred
420,four hundred and twenty
430,four hundred and thirty
440,four hundred and forty
450,four hundred and fifty
460,four hundred and sixty
470,four hundred and seventy
480,four hundred and eighty
500,five hundred
510,five hundred and ten
520,five hundred and twenty
530,five hundred and thirty
540,five hundred and forty
550,five hundred and fifty
560,five hundred and sixty
570,five hundred and seventy
580,five hundred and eighty
600,six hundred
620,six hundred and twenty
650,six hundred and fifty
660,six hundred and sixty
670,six hundred and seventy
680,six hundred and eighty
690,six hundred and ninety
700,seven hundred
710,seven hundred and ten
720,seven hundred and twenty
730,seven hundred and thirty
740,seven hundred and forty
750,seven hundred and fifty
760,seven hundred and sixty
770,seven hundred and seventy
780,seven hundred and eighty
790,seven hundred and ninety
800,eight hundred
810,eight hundred and ten
820,eight hundred and twenty
830,eight hundred and thirty
840,eight hundred and forty
850,eight hundred and fifty
860,eight hundred and sixty
870,eight hundred and seventy
880,eight hundred and eighty
890,eight hundred and ninety
900,nine hundred
920,nine hundred and twenty
930,nine hundred and thirty
940,nine hundred and forty
960,nine hundred and sixty
970,nine hundred and seventy
980,nine hundred and eighty
990,nine hundred and ninety
4809,"four thousand, eight hundred and nine"
8608,"eight thousand, six hundred and eight"
4395,"four thousand, three hundred and ninety-five"
2608,"two thousand, six hundred and eight"
4982,"four thousand, nine hundred and eighty-two"
2264,"two thousand, two hundred and sixty-four"
7273,"seven thousand, two hundred and seventy-three"
2051,two thousand and fifty-one
9030,nine thousand and thirty
9402,"nine thousand, four hundred and two"
1979,"one thousand, nine hundred and seventy-nine"
8070,eight thousand and seventy
6993,"six thousand, nine hundred and ninety-three"
3447,"three thousand, four hundred and forty-seven"
6517,"six thousand, five hundred and seventeen"
5285,"five thousand, two hundred and eighty-five"
6221,"six thousand, two hundred and twenty-one"
6459,"six thousand, four hundred and fifty-nine"
4861,"four thousand, eight hundred and sixty-one"
7054,seven thousand and fifty-four
7790,"seven thousand, seven hundred and ninety"
7760,"seven thousand, seven hundred and sixty"
5776,"five thousand, seven hundred and seventy-six"
1065,one thousand and sixty-five
1743,"one thousand, seven hundred and forty-three"
7132,"seven thousand, one hundred and thirty-two"
2889,"two thousand, eight hundred and eighty-nine"
4635,"four thousand, six hundred and thirty-five"
7965,"seven thousand, nine hundred and sixty-five"
3409,"three thousand, four hundred and nine"
5536,"five thousand, five hundred and thirty-six"
6375,"six thousand, three hundred and seventy-five"
1845,"one thousand, eight hundred and forty-five"
9368,"nine thousand, three hundred and sixty-eight"
2326,"two thousand, three hundred and twenty-six"
1723,"one thousand, seven hundred and twenty-three"
6039,six thousand and thirty-nine
5437,"five thousand, four hundred and thirty-seven"
2560,"two thousand, five hundred and sixty"
3453,"three thousand, four hundred and fifty-three"
1150,"one thousand, one hundred and fifty"
4495,"four thousand, four hundred and ninety-five"
1081,one thousand and eighty-one
4599,"four thousand, five hundred and ninety-nine"
9916,"nine thousand, nine hundred and sixteen"
9545,"nine thousand, five hundred and forty-five"
4839,"four thousand, eight hundred and thirty-nine"
8389,"eight thousand, three hundred and eighty-nine"
8866,"eight thousand, eight hundred and sixty-six"
2923,"two thousand, nine hundred and twenty-three"
3421,"three thousand, four hundred and twenty-one"
1749,"one thousand, seven hundred and forty-nine"
1394,"one thousand, three hundred and ninety-four"
9144,"nine thousand, one hundred and forty-four"
6232,"six thousand, two hundred and thirty-two"
2396,"two thousand, three hundred and ninety-six"
9339,"nine thousand, three hundred and thirty-nine"
5919,"five thousand, nine hundred and nineteen"
2327,"two thousand, three hundred and twenty-seven"
4013,four thousand and thirteen
1758,"one thousand, seven hundred and fifty-eight"
8220,"eight thousand, two hundred and twenty"
8632,"eight thousand, six hundred and thirty-two"
7253,"seven thousand, two hundred and fifty-three"
3391,"three thousand, three hundred and ninety-one"
7295,"seven thousand, two hundred and ninety-five"
9532,"nine thousand, five hundred and thirty-two"
5923,"five thousand, nine hundred and twenty-three"
5916,"five thousand, nine hundred and sixteen"
2612,"two thousand, six hundred and twelve"
9648,"nine thousand, six hundred and forty-eight"
2472,"two thousand, four hundred and seventy-two"
8180,"eight thousand, one hundred and eighty"
1216,"one thousand, two hundred and sixteen"
7191,"seven thousand, one hundred and ninety-one"
8008,eight thousand and eight
7941,"seven thousand, nine hundred and forty-one"
1853,"one thousand, eight hundred and fifty-three"
3478,"three thousand, four hundred and seventy-eight"
8821,"eight thousand, eight hundred and twenty-one"
2150,"two thousand, one hundred and fifty"
6358,"six thousand, three hundred and fifty-eight"
2531,"two thousand, five hundred and thirty-one"
8631,"eight thousand, six hundred and thirty-one"
1677,"one thousand, six hundred and seventy-seven"
3961,"three thousand, nine hundred and sixty-one"
4390,"four thousand, three hundred and ninety"
8543,"eight thousand, five hundred and forty-three"
4399,"four thousand, three hundred and ninety-nine"
2389,"two thousand, three hundred and eighty-nine"
2507,"two thousand, five hundred and seven"
9498,"nine thousand, four hundred and ninety-eight"
8877,"eight thousand, eight hundred and seventy-seven"
8004,eight thousand and four
2704,"two thousand, seven hundred and four"
7896,"seven thousand, eight hundred and ninety-six"
1515,"one thousand, five hundred and fifteen"
5211,"five thousand, two hundred and eleven"
2035,two thousand and thirty-five
7248,"seven thousand, two hundred and forty-eight"
2787,"two thousand, seven hundred and eighty-seven"
7051,seven thousand and fifty-one
4580,"four thousand, five hundred and eighty"
5945,"five thousand, nine hundred and forty-five"
7359,"seven thousand, three hundred and fifty-nine"
9586,"nine thousand, five hundred and eighty-six"
3959,"three thousand, nine hundred and fifty-nine"
2254,"two thousand, two hundred and fifty-four"
1670,"one thousand, six hundred and seventy"
1633,"one thousand, six hundred and thirty-three"
5506,"five thousand, five hundred and six"
4592,"four thousand, five hundred and ninety-two"
7675,"seven thousand, six hundred and seventy-five"
3071,three thousand and seventy-one
3976,"three thousand, nine hundred and seventy-six"
9210,"nine thousand, two hundred and ten"
3494,"three thousand, four hundred and ninety-four"
6805,"six thousand, eight hundred and five"
2275,"two thousand, two hundred and seventy-five"
4739,"four thousand, seven hundred and thirty-nine"
5392,"five thousand, three hundred and ninety-two"
5850,"five thousand, eight hundred and fifty"
3010,three thousand and ten
6902,"six thousand, nine hundred and two"
5257,"five thousand, two hundred and fifty-seven"
9575,"nine thousand, five hundred and seventy-five"
5025,five thousand and twenty-five
7360,"seven thousand, three hundred and sixty"
5030,five thousand and thirty
8780,"eight thousand, seven hundred and eighty"
6603,"six thousand, six hundred and three"
7184,"seven thousand, one hundred and eighty-four"
2091,two thousand and ninety-one
3028,three thousand and twenty-eight
1806,"one thousand, eight hundred and six"
7611,"seven thousand, six hundred and eleven"
2343,"two thousand, three hundred and forty-three"
5574,"five thousand, five hundred and seventy-four"
6255,"six thousand, two hundred and fifty-five"
9795,"nine thousand, seven hundred and ninety-five"
1112,"one thousand, one hundred and twelve"
6827,"six thousand, eight hundred and twenty-seven"
5468,"five thousand, four hundred and sixty-eight"
3504,"three thousand, five hundred and four"
6826,"six thousand, eight hundred and twenty-six"
2004,two thousand and four
5021,five thousand and twenty-one
3689,"three thousand, six hundred and eighty-nine"
4014,four thousand and fourteen
9848,"nine thousand, eight hundred and forty-eight"
4957,"four thousand, nine hundred and fifty-seven"
7890,"seven thousand, eight hundred and ninety"
8862,"eight thousand, eight hundred and sixty-two"
8831,"eight thousand, eight hundred and thirty-one"
4353,"four thousand, three hundred and fifty-three"
5400,"five thousand, four hundred"
8853,"eight thousand, eight hundred and fifty-three"
2444,"two thousand, four hundred and forty-four"
7822,"seven thousand, eight hundred and twenty-two"
4219,"four thousand, two hundred and nineteen"
8960,"eight thousand, nine hundred and sixty"
5684,"five thousand, six hundred and eighty-four"
1905,"one thousand, nine hundred and five"
3313,"three thousand, three hundred and thirteen"
9835,"nine thousand, eight hundred and thirty-five"
5572,"five thousand, five hundred and seventy-two"
9737,"nine thousand, seven hundred and thirty-seven"
8749,"eight thousand, seven hundred and forty-nine"
3851,"three thousand, eight hundred and fifty-one"
6328,"six thousand, three hundred and twenty-eight"
2458,"two thousand, four hundred and fifty-eight"
9827,"nine thousand, eight hundred and twenty-seven"
4874,"four thousand, eight hundred and seventy-four"
4750,"four thousand, seven hundred and fifty"
7171,"seven thousand, one hundred and seventy-one"
6333,"six thousand, three hundred and thirty-three"
9018,nine thousand and eighteen
8402,"eight thousand, four hundred and two"
2637,"two thousand, six hundred and thirty-seven"
3064,three thousand and sixty-four
2328,"two thousand, three hundred and twenty-eight"
2726,"two thousand, seven hundred and twenty-six"
9813,"nine thousand, eight hundred and thirteen"
5012,five thousand and twelve
6753,"six thousand, seven hundred and fifty-three"
1849,"one thousand, eight hundred and forty-nine"
8967,"eight thousand, nine hundred and sixty-seven"
2870,"two thousand, eight hundred and seventy"
4279,"four thousand, two hundred and seventy-nine"
1334,"one thousand, three hundred and thirty-four"
2934,"two thousand, nine hundred and thirty-four"
4843,"four thousand, eight hundred and forty-three"
1920,"one thousand, nine hundred and twenty"
1115,"one thousand, one hundred and fifteen"
8257,"eight thousand, two hundred and fifty-seven"
3102,"three thousand, one hundred and two"
9253,"nine thousand, two hundred and fifty-three"
8034,eight thousand and thirty-four
4072,four thousand and seventy-two
9168,"nine thousand, one hundred and sixty-eight"
8467,"eight thousand, four hundred and sixty-seven"
1963,"one thousand, nine hundred and sixty-three"
6977,"six thousand, nine hundred and seventy-seven"
7080,seven thousand and eighty
4533,"four thousand, five hundred and thirty-three"
4352,"four thousand, three hundred and fifty-two"
9084,nine thousand and eighty-four
8533,"eight thousand, five hundred and thirty-three"
7216,"seven thousand, two hundred and sixteen"
6365,"six thousand, three hundred and sixty-five"
1073,one thousand and seventy-three
4414,"four thousand, four hundred and fourteen"
4884,"four thousand, eight hundred and eighty-four"
7694,"seven thousand, six hundred and ninety-four"
6023,six thousand and twenty-three
4331,"four thousand, three hundred and thirty-one"
1427,"one thousand, four hundred and twenty-seven"
1330,"one thousand, three hundred and thirty"
3252,"three thousand, two hundred and fifty-two"
7376,"seven thousand, three hundred and seventy-six"
8855,"eight thousand, eight hundred and fifty-five"
2303,"two thousand, three hundred and three"
3993,"three thousand, nine hundred and ninety-three"
4618,"four thousand, six hundred and eighteen"
3461,"three thousand, four hundred and sixty-one"
8209,"eight thousand, two hundred and nine"
3718,"three thousand, seven hundred and eighteen"
5237,"five thousand, two hundred and thirty-seven"
2805,"two thousand, eight hundred and five"
9224,"nine thousand, two hundred and twenty-four"
8064,eight thousand and sixty-four
4153,"four thousand, one hundred and fifty-three"
4831,"four thousand, eight hundred and thirty-one"
4860,"four thousand, eight hundred and sixty"
5795,"five thousand, seven hundred and ninety-five"
7130,"seven thousand, one hundred and thirty"
9012,nine thousand and twelve
2976,"two thousand, nine hundred and seventy-six"
6174,"six thousand, one hundred and seventy-four"
7597,"seven thousand, five hundred and ninety-seven"
9120,"nine thousand, one hundred and twenty"
1183,"one thousand, one hundred and eighty-three"
5296,"five thousand, two hundred and ninety-six"
3268,"three thousand, two hundred and sixty-eight"
1004,one thousand and four
9858,"nine thousand, eight hundred and fifty-eight"
1397,"one thousand, three hundred and ninety-seven"
7791,"seven thousand, seven hundred and ninety-one"
4824,"four thousand, eight hundred and twenty-four"
3806,"three thousand, eight hundred and six"
9254,"nine thousand, two hundred and fifty-four"
9823,"nine thousand, eight hundred and twenty-three"
3377,"three thousand, three hundred and seventy-seven"
3917,"three thousand, nine hundred and seventeen"
9209,"nine thousand, two hundred and nine"
1573,"one thousand, five hundred and seventy-three"
7519,"seven thousand, five hundred and nineteen"
2866,"two thousand, eight hundred and sixty-six"
1680,"one thousand, six hundred and eighty"
2317,"two thousand, three hundred and seventeen"
4680,"four thousand, six hundred and eighty"
6224,"six thousand, two hundred and twenty-four"
6298,"six thousand, two hundred and ninety-eight"
1446,"one thousand, four hundred and forty-six"
6295,"six thousand, two hundred and ninety-five"
5459,"five thousand, four hundred and fifty-nine"
2871,"two thousand, eight hundred and seventy-one"
1913,"one thousand, nine hundred and thirteen"
5851,"five thousand, eight hundred and fifty-one"
5777,"five thousand, seven hundred and seventy-seven"
5103,"five thousand, one hundred and three"
3115,"three thousand, one hundred and fifteen"
4269,"four thousand, two hundred and sixty-nine"
3452,"three thousand, four hundred and fifty-two"
4821,"four thousand, eight hundred and twenty-one"
3807,"three thousand, eight hundred and seven"
1742,"one thousand, seven hundred and forty-two"
5829,"five thousand, eight hundred and twenty-nine"
9283,"nine thousand, two hundred and eighty-three"
7629,"seven thousand, six hundred and twenty-nine"
6075,six thousand and seventy-five
3091,three thousand and ninety-one
4458,"four thousand, four hundred and fifty-eight"
5393,"five thousand, three hundred and ninety-three"
6352,"six thousand, three hundred and fifty-two"
2837,"two thousand, eight hundred and thirty-seven"
9502,"nine thousand, five hundred and two"
1006,one thousand and six
6035,six thousand and thirty-five
6182,"six thousand, one hundred and eighty-two"
6790,"six thousand, seven hundred and ninety"
5619,"five thousand, six hundred and nineteen"
6510,"six thousand, five hundred and ten"
4721,"four thousand, seven hundred and twenty-one"
1712,"one thousand, seven hundred and twelve"
6967,"six thousand, nine hundred and sixty-seven"
5228,"five thousand, two hundred and twenty-eight"
2723,"two thousand, seven hundred and twenty-three"
7226,"seven thousand, two hundred and twenty-six"
3545,"three thousand, five hundred and forty-five"
7321,"seven thousand, three hundred and twenty-one"
8511,"eight thousand, five hundred and eleven"
7209,"seven thousand, two hundred and nine"
5137,"five thousand, one hundred and thirty-seven"
5648,"five thousand, six hundred and forty-eight"
6415,"six thousand, four hundred and fifteen"
8711,"eight thousand, seven hundred and eleven"
9437,"nine thousand, four hundred and thirty-seven"
5677,"five thousand, six hundred and seventy-seven"
3331,"three thousand, three hundred and thirty-one"
4977,"four thousand, nine hundred and seventy-seven"
8838,"eight thousand, eight hundred and thirty-eight"
9534,"nine thousand, five hundred and thirty-four"
6845,"six thousand, eight hundred and forty-five"
6546,"six thousand, five hundred and forty-six"
8287,"eight thousand, two hundred and eighty-seven"
8385,"eight thousand, three hundred and eighty-five"
3970,"three thousand, nine hundred and seventy"
7026,seven thousand and twenty-six
3528,"three thousand, five hundred and twenty-eight"
3695,"three thousand, six hundred and ninety-five"
6465,"six thousand, four hundred and sixty-five"
3319,"three thousand, three hundred and nineteen"
4724,"four thousand, seven hundred and twenty-four"
5213,"five thousand, two hundred and thirteen"
4421,"four thousand, four hundred and twenty-one"
7089,seven thousand and eighty-nine
7426,"seven thousand, four hundred and twenty-six"
9622,"nine thousand, six hundred and twenty-two"
5609,"five thousand, six hundred and nine"
4649,"four thousand, six hundred and forty-nine"
4710,"four thousand, seven hundred and ten"
1755,"one thousand, seven hundred and fifty-five"
9265,"nine thousand, two hundred and sixty-five"
6485,"six thousand, four hundred and eighty-five"
4830,"four thousand, eight hundred and thirty"
3052,three thousand and fifty-two
5418,"five thousand, four hundred and eighteen"
2216,"two thousand, two hundred and sixteen"
4644,"four thousand, six hundred and forty-four"
7987,"seven thousand, nine hundred and eighty-seven"
6139,"six thousand, one hundred and thirty-nine"
6082,six thousand and eighty-two
8349,"eight thousand, three hundred and forty-nine"
7476,"seven thousand, four hundred and seventy-six"
9665,"nine thousand, six hundred and sixty-five"
2484,"two thousand, four hundred and eighty-four"
5155,"five thousand, one hundred and fifty-five"
6901,"six thousand, nine hundred and one"
8055,eight thousand and fifty-five
4550,"four thousand, five hundred and fifty"
9087,nine thousand and eighty-seven
6161,"six thousand, one hundred and sixty-one"
2748,"two thousand, seven hundred and forty-eight"
2511,"two thousand, five hundred and eleven"
7924,"seven thousand, nine hundred and twenty-four"
1571,"one thousand, five hundred and seventy-one"
2730,"two thousand, seven hundred and thirty"
7302,"seven thousand, three hundred and two"
6891,"six thousand, eight hundred and ninety-one"
9882,"nine thousand, eight hundred and eighty-two"
5408,"five thousand, four hundred and eight"
2638,"two thousand, six hundred and thirty-eight"
2854,"two thousand, eight hundred and fifty-four"
3406,"three thousand, four hundred and six"
1299,"one thousand, two hundred and ninety-nine"
9077,nine thousand and seventy-seven
4778,"four thousand, seven hundred and seventy-eight"
1996,"one thousand, nine hundred and ninety-six"
9857,"nine thousand, eight hundred and fifty-seven"
1509,"one thousand, five hundred and nine"
3317,"three thousand, three hundred and seventeen"
9624,"nine thousand, six hundred and twenty-four"
1199,"one thousand, one hundred and ninety-nine"
6943,"six thousand, nine hundred and forty-three"
1994,"one thousand, nine hundred and ninety-four"
9071,nine thousand and seventy-one
5894,"five thousand, eight hundred and ninety-four"
6754,"six thousand, seven hundred and fifty-four"
3496,"three thousand, four hundred and ninety-six"
6356,"six thousand, three hundred and fifty-six"
3978,"three thousand, nine hundred and seventy-eight"
9472,"nine thousand, four hundred and seventy-two"
1139,"one thousand, one hundred and thirty-nine"
2724,"two thousand, seven hundred and twenty-four"
8771,"eight thousand, seven hundred and seventy-one"
5858,"five thousand, eight hundred and fifty-eight"
9276,"nine thousand, two hundred and seventy-six"
8098,eight thousand and ninety-eight
2456,"two thousand, four hundred and fifty-six"
5485,"five thousand, four hundred and eighty-five"
7813,"seven thousand, eight hundred and thirteen"
4613,"four thousand, six hundred and thirteen"
3748,"three thousand, seven hundred and forty-eight"
7880,"seven thousand, eight hundred and eighty"
8331,"eight thousand, three hundred and thirty-one"
6367,"six thousand, three hundred and sixty-seven"
6090,six thousand and ninety
7284,"seven thousand, two hundred and eighty-four"
5533,"five thousand, five hundred and thirty-three"
3710,"three thousand, seven hundred and ten"
8211,"eight thousand, two hundred and eleven"
5387,"five thousand, three hundred and eighty-seven"
9258,"nine thousand, two hundred and fifty-eight"
3180,"three thousand, one hundred and eighty"
5294,"five thousand, two hundred and ninety-four"
6503,"six thousand, five hundred and three"
3248,"three thousand, two hundred and forty-eight"
1777,"one thousand, seven hundred and seventy-seven"
8151,"eight thousand, one hundred and fifty-one"
2609,"two thousand, six hundred and nine"
1431,"one thousand, four hundred and thirty-one"
6031,six thousand and thirty-one
6450,"six thousand, four hundred and fifty"
6268,"six thousand, two hundred and sixty-eight"
3013,three thousand and thirteen
8972,"eight thousand, nine hundred and seventy-two"
1836,"one thousand, eight hundred and thirty-six"
8351,"eight thousand, three hundred and fifty-one"
9770,"nine thousand, seven hundred and seventy"
9695,"nine thousand, six hundred and ninety-five"
1795,"one thousand, seven hundred and ninety-five"
9649,"nine thousand, six hundred and forty-nine"
8922,"eight thousand, nine hundred and twenty-two"
9612,"nine thousand, six hundred and twelve"
4330,"four thousand, three hundred and thirty"
5742,"five thousand, seven hundred and forty-two"
2646,"two thousand, six hundred and forty-six"
7157,"seven thousand, one hundred and fifty-seven"
6299,"six thousand, two hundred and ninety-nine"
5353,"five thousand, three hundred and fifty-three"
1517,"one thousand, five hundred and seventeen"
3777,"three thousand, seven hundred and seventy-seven"
4852,"four thousand, eight hundred and fifty-two"
2302,"two thousand, three hundred and two"
7882,"seven thousand, eight hundred and eighty-two"
6610,"six thousand, six hundred and ten"
8743,"eight thousand, seven hundred and forty-three"
7605,"seven thousand, six hundred and five"
3579,"three thousand, five hundred and seventy-nine"
1491,"one thousand, four hundred and ninety-one"
8205,"eight thousand, two hundred and five"
7742,"seven thousand, seven hundred and forty-two"
5272,"five thousand, two hundred and seventy-two"
4106,"four thousand, one hundred and six"
3563,"three thousand, five hundred and sixty-three"
9508,"nine thousand, five hundred and eight"
2473,"two thousand, four hundred and seventy-three"
5650,"five thousand, six hundred and fifty"
4485,"four thousand, four hundred and eighty-five"
